Tarih;Eth Miktarı;Eth Farkı;TL Farkı;Hesaptaki Miktar;Açıklamalar;;;;
23.06.2021 00:00 *;0.07248 Eth;0.01030;141.11TL;1196.56TL;;240MH;;;
24.06.2021 00:00 *;0.07909 Eth;0.00661;128.30TL;1324.86TL;;160MH;;;
25.06.2021 00:00 *;0.08359 Eth;0.00450;68.30TL;1393.16TL;;160MH;;;
26.06.2021 00:00 *;0.08827 Eth;0.00468;42.42TL;1435.58TL;;160MH;;;
27.06.2021 00:00 *;0.09392 Eth;0.00565;21.42TL;1457.00TL;;240MH;;;
27.06.2021 20:30 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.1Eth (1600TL) hesaba yattı.;240MH;7014TL;;
28.06.2021 00:00 *;0.00178 Eth;0.00178;29.01TL;29.01TL;;240MH;;;
29.06.2021 00:00 *;0.00979 Eth;0.00801;151.83TL;180.84TL;;260MH;;;
30.06.2021 00:00 *;0.01829 Eth;0.00850;170.10TL;350.94TL;;260MH;;;
01.07.2021 00:00 *;0.02690 Eth;0.00861;178.31TL;529.25TL;;260MH;;;
02.07.2021 00:00 *;0.03331 Eth;0.00641;75.02TL;604.27TL;;160MH;;;
03.07.2021 00:00 *;0.04025 Eth;0.00694;124.82TL;729.09TL;;240MH;;;
04.07.2021 00:00 *;0.04739 Eth;0.00714;183.18TL;912.27TL;;260MH;;;
05.07.2021 00:00 *;0.05509 Eth;0.00770;227.77TL;1140.04TL;;260MH;;;
06.07.2021 00:00 *;0.06336 Eth;0.00827;90.83TL;1230.87TL;;290MH;;;
07.07.2021 00:00 *;0.07305 Eth;0.00969;229.09TL;1459.96TL;;290MH;;;
08.07.2021 00:00 *;0.08194 Eth;0.00889;213.01TL;1672.97TL;;290MH;;;
09.07.2021 00:00 *;0.08958 Eth;0.00764;9.57TL -;1663.40TL;;240MH;;;
10.07.2021 00:00 *;0.09719 Eth;0.00761;131.65TL;1795.05TL;;240MH;;;
10.07.2021 09:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.1Eth (1838TL) hesaba yattı.;240MH;8852TL;;
11.07.2021 00:00 *;0.00549 Eth;0.00549;99.67TL;99.67TL;;290MH;;;
12.07.2021 00:00 *;0.01374 Eth;0.00825;154.63TL;254.30TL;;290MH;;;
13.07.2021 00:00 *;0.02205 Eth;0.00831;131.95TL;386.25TL;;290MH;;;
14.07.2021 00:00 *;0.03072 Eth;0.00867;128.95TL;515.20TL;;290MH;;;
15.07.2021 00:00 *;0.04042 Eth;0.00970;179.26TL;694.46TL;;290MH;;;
16.07.2021 00:00 *;0.05026 Eth;0.00984;135.02TL;829.48TL;;290MH;;;
17.07.2021 00:00 *;0.05975 Eth;0.00949;138.32TL;967.80TL;;290MH;;;
18.07.2021 00:00 *;0.06890 Eth;0.00915;153.25TL;1121.05TL;;290MH;;;
19.07.2021 00:00 *;0.07773 Eth;0.00883;137.27TL;1258.32TL;;240MH;;;
20.07.2021 00:00 *;0.08481 Eth;0.00708;70.67TL;1328.99TL;;240MH;;;
21.07.2021 00:00 *;0.09253 Eth;0.00772;88.21TL;1417.20TL;;240MH;;;
21.07.2021 22:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.1Eth (1708TL) hesaba yattı. ;240MH;10.560TL;;
22.07.2021 00:00 *;0.00092 Eth;0.00092;15.49TL;15.49TL;;240MH;;;
23.07.2021 00:00 *;0.00925 Eth;0.00833;144.12TL;159.61TL;;290MH;;;
